当前帧率,关键点,X,Y
1,0,0.6199615597724915,0.28636080026626587
1,1,0.6204001307487488,0.26100626587867737
1,2,0.6164553165435791,0.2560468018054962
1,3,0.6140447854995728,0.25385236740112305
1,4,0.6256681084632874,0.26613330841064453
1,5,0.6267971396446228,0.2665485441684723
1,6,0.6275468468666077,0.2670508027076721
1,7,0.6044851541519165,0.25586405396461487
1,8,0.6211202144622803,0.27246105670928955
1,9,0.6134135723114014,0.3030347526073456
1,10,0.6180038452148438,0.30731508135795593
1,11,0.5075179934501648,0.33312511444091797
1,12,0.6293738484382629,0.3666098117828369
1,13,0.4046054780483246,0.36270374059677124
1,14,0.7530521750450134,0.3232898414134979
1,15,0.30441051721572876,0.33263394236564636
1,16,0.8709598779678345,0.27006012201309204
1,17,0.2733498811721802,0.33107665181159973
1,18,0.9055610299110413,0.26135656237602234
1,19,0.2713696360588074,0.32239559292793274
1,20,0.9047431945800781,0.2434672862291336
1,21,0.2807687819004059,0.3238900303840637
1,22,0.8936582207679749,0.24718213081359863
1,23,0.44619545340538025,0.6220932602882385
1,24,0.5324946045875549,0.6283915042877197
1,25,0.2917085289955139,0.7656378746032715
1,26,0.70220947265625,0.6583875417709351
1,27,0.1346181482076645,0.8559556007385254
1,28,0.7744208574295044,0.8653714060783386
1,29,0.12017488479614258,0.8716827630996704
1,30,0.767318606376648,0.9115099906921387
1,31,0.07625380158424377,0.8830922245979309
1,32,0.854299008846283,0.9116383790969849
